city_rus,city_en,link,latitude,longitude,coordinates
Москва,moscow,https://time-in.ru/coordinates/moscow,55.7522,37.6156,"55.7522, 37.6156"
Москва,moscow,https://time-in.ru/coordinates/moscow,55.7522,37.6156,"55.7522, 37.6156"
Абакан,abakan,https://time-in.ru/coordinates/abakan,53.7156,91.4292,"53.7156, 91.4292"
Адлер,adler,https://time-in.ru/coordinates/adler,43.429,39.9239,"43.429, 39.9239"
Азов,azov,https://time-in.ru/coordinates/azov,47.1078,39.4165,"47.1078, 39.4165"
Александров,aleksandrov,https://time-in.ru/coordinates/aleksandrov,56.3952,38.7122,"56.3952, 38.7122"
Алексин,aleksin,https://time-in.ru/coordinates/aleksin,54.505,37.0674,"54.505, 37.0674"
Альметьевск,al-met-yevsk,https://time-in.ru/coordinates/al-met-yevsk,54.9044,52.3154,"54.9044, 52.3154"
Анадырь,anadyr,https://time-in.ru/coordinates/anadyr,64.7342,177.51,"64.7342, 177.51"
Анапа,anapa,https://time-in.ru/coordinates/anapa,44.8908,37.3239,"44.8908, 37.3239"
Ангарск,angarsk,https://time-in.ru/coordinates/angarsk,52.5367,103.886,"52.5367, 103.886"
Анжеро-Судженск,anzhero-sudzhensk,https://time-in.ru/coordinates/anzhero-sudzhensk,56.081,86.0285,"56.081, 86.0285"
Апатиты,apatity,https://time-in.ru/coordinates/apatity,67.5641,33.4031,"67.5641, 33.4031"
Арзамас,arzamas,https://time-in.ru/coordinates/arzamas,55.3949,43.8399,"55.3949, 43.8399"
Армавир,armavir-1,https://time-in.ru/coordinates/armavir-1,44.9892,41.1234,"44.9892, 41.1234"
Арсеньев,arsen-yev,https://time-in.ru/coordinates/arsen-yev,44.1525,133.278,"44.1525, 133.278"
Артём,artem,https://time-in.ru/coordinates/artem,43.3595,132.189,"43.3595, 132.189"
Архангельск,arkhangel-sk,https://time-in.ru/coordinates/arkhangel-sk,64.5401,40.5433,"64.5401, 40.5433"
Асбест,asbest,https://time-in.ru/coordinates/asbest,57.0099,61.4578,"57.0099, 61.4578"
Астрахань,astrakhan,https://time-in.ru/coordinates/astrakhan,46.3497,48.0408,"46.3497, 48.0408"
Ачинск,achinsk,https://time-in.ru/coordinates/achinsk,56.2694,90.4993,"56.2694, 90.4993"
Балаково,balakovo,https://time-in.ru/coordinates/balakovo,52.0278,47.8007,"52.0278, 47.8007"
Балахна,novaya-balakhna,https://time-in.ru/coordinates/novaya-balakhna,56.4899,43.6011,"56.4899, 43.6011"
Балашиха,balashikha,https://time-in.ru/coordinates/balashikha,55.8094,37.9581,"55.8094, 37.9581"
Балашов,balashov,https://time-in.ru/coordinates/balashov,51.5502,43.1667,"51.5502, 43.1667"
Барнаул,barnaul,https://time-in.ru/coordinates/barnaul,53.3606,83.7636,"53.3606, 83.7636"
Батайск,bataysk,https://time-in.ru/coordinates/bataysk,47.1398,39.7518,"47.1398, 39.7518"
Белгород,belgorod,https://time-in.ru/coordinates/belgorod,50.6107,36.5802,"50.6107, 36.5802"
Белебей,belebey,https://time-in.ru/coordinates/belebey,54.1167,54.1167,"54.1167, 54.1167"
Белово,belovo,https://time-in.ru/coordinates/belovo,54.4165,86.2976,"54.4165, 86.2976"
Белогорск,belogorsk,https://time-in.ru/coordinates/belogorsk,50.9164,128.477,"50.9164, 128.477"
